tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,labels
8.724191667,9.766986166,6.204073442,8.955794246,2.972568001,-1.259537256,-1.146559164,-0.566471581,0.634183823,0.197459709,0.652715883,0.443329564,0
4.160491748,5.346442333,5.245523322,9.659758464,3.143881457,-0.866744847,-0.874445477,-1.402691133,0.48889413,0.917597905,0.087070851,0.345155722,0
7.750473963,9.118649917,4.891769471,2.16111425,2.792709899,-0.727194409,-1.5036034,-0.56191209,0.439298792,0.237922442,0.954976055,0.507007488,0
3.056797431,7.773796747,5.341538744,4.998910384,4.006548837,-1.369752413,-1.241704941,-1.395091483,0.664562276,0.300931145,0.217390931,0.652204959,0
8.693985591,2.911455329,8.215801462,8.986732451,4.575044491,-1.257642327,-1.515097358,-1.802304806,0.54648479,0.866088119,0.188789747,0.397385467,0
0.97686837,1.684344696,4.707813352,8.699268773,2.995787071,-0.670218116,-1.160087614,-1.165481341,0.116198403,0.106947755,0.371025232,0.898960597,0
7.173558833,4.771243687,5.109398395,3.464594752,4.687170783,-1.642208258,-1.188196779,-1.856765746,0.54326476,0.366545372,0.623784945,0.793521106,0
8.464793826,3.553579098,1.061509792,5.602171814,3.473397554,-1.224185802,-1.033777514,-1.215434238,0.987753107,0.248538995,0.477530742,0.339556222,0
7.869250585,9.37287645,9.475199407,0.6885029,4.128368098,-1.511306962,-1.323953062,-1.293108075,0.803326838,0.689139093,0.951537228,0.5902233,0
4.481419393,3.026155074,7.006107714,1.799938685,3.038399599,-0.980413858,-1.387979009,-0.670006733,0.162250504,0.949308061,0.585045157,0.778278216,0
3.159813489,3.788315776,4.068648711,1.432164174,3.968416714,-1.274655122,-1.061922201,-1.631839391,0.913911216,0.504962457,0.636598014,0.719970512,0
6.115833233,8.197201696,8.64323451,2.818032767,3.618903077,-0.635544495,-1.259698641,-1.723659941,0.431200978,0.688573141,0.273482485,0.168741843,0
7.429016533,3.211486799,6.409529298,7.41450294,2.475200665,-0.904972074,-0.621230713,-0.948997878,0.649718256,0.210030216,0.301371013,0.359554198,0
6.0732652,2.166802041,1.412017288,9.441644203,3.200872125,-1.451422297,-0.888449941,-0.860999888,0.944192145,0.812887635,0.801157982,0.621127381,0
2.8380362,4.980450093,8.182365202,5.274975978,3.636819578,-1.602283784,-0.523969746,-1.510566048,0.074793801,0.523468123,0.687427125,0.333769897,0
9.853461811,7.181022832,1.689083755,1.705491987,2.388583971,-0.676758056,-0.510617968,-1.201207946,0.953620612,0.657751776,0.788264275,0.082659637,0
6.582167146,8.979464168,8.354518181,1.231032984,3.355257599,-0.646910995,-0.909078808,-1.799267796,0.652188613,0.355355027,0.792863357,0.904233219,0
8.548305857,6.290508815,3.615145415,2.986771991,4.323414151,-1.142384022,-1.913579447,-1.267450682,0.661727654,0.905030815,0.907942684,0.717516207,0
5.596382456,6.860479513,2.968757488,4.506310891,3.207343616,-1.634256968,-0.528460441,-1.044626206,0.973804558,0.150412974,0.783237442,0.985416675,0
6.709216451,3.936014331,5.875941328,3.312114432,4.346620685,-1.482839071,-0.960576194,-1.903205419,0.872806053,0.14345502,0.49108008,0.800742266,0
8.783661741,8.717784986,5.80707666,7.713756812,3.902453424,-1.094741875,-1.494025732,-1.313685816,0.536301394,0.810928402,0.40064221,0.263196656,0
5.492405587,2.831252119,8.237423906,9.241880539,2.777325756,-1.092509269,-0.516957531,-1.167858956,0.910836599,0.363526794,0.386949409,0.139803119,0
8.143384333,3.134313054,7.737949035,6.866359494,2.205235805,-0.510386001,-0.916048643,-0.778801161,0.876889287,0.251965374,0.58786437,0.690121811,0
1.509163754,8.638002795,6.498283731,9.597121968,2.563061995,-0.631437153,-0.518402838,-1.413222004,0.39832531,0.082876758,0.718076098,0.896133231,0
9.962515057,6.68904123,1.020108928,7.891809748,3.912387885,-1.645816717,-0.860923083,-1.405648085,0.569991015,0.787273927,0.71358359,0.222902565,0
1.438049475,5.319492124,7.604168748,2.56401197,3.528725292,-1.487050671,-1.504666442,-0.537008178,0.950424801,0.419919208,0.899586773,0.088856916,0
5.901542177,6.156077758,6.343914419,1.729363093,4.116402728,-0.83095251,-1.360239055,-1.925211163,0.290110943,0.890003761,0.217975559,0.076881288,0
1.254478046,6.629103975,6.205139347,9.622674853,3.619247024,-1.393961789,-1.707912553,-0.517372682,0.54278864,0.63277749,0.88649383,0.21550257,0
8.345810144,2.615675915,3.034114036,5.898602493,4.539984509,-1.803948395,-1.597842271,-1.138193843,0.812312844,0.575164602,0.536325463,0.716368908,0
1.58917982,8.942294093,0.749390961,8.741901901,3.557036946,-1.138058172,-0.543555811,-1.875422963,0.493543656,0.977763863,0.414925379,0.486823651,0
5.379932319,7.432741763,5.391207006,8.839209742,3.285979255,-1.871740727,-0.678783728,-0.7354548,0.187341808,0.644931354,0.271883847,0.749405394,0
1.146154568,9.319862824,5.706566055,8.708019859,3.624340588,-1.330328838,-0.796485168,-1.497526583,0.663366867,0.212230827,0.300513618,0.918889886,0
8.409923561,5.598573145,5.914964053,3.337329341,4.915936245,-1.953453365,-1.014358207,-1.948124674,0.630851917,0.257968805,0.801480587,0.525230572,0
6.796624421,8.254860326,7.29439267,3.507909678,4.662998815,-1.961862623,-1.887542683,-0.813593508,0.398564714,0.919154733,0.055810167,0.769743785,0
4.455076033,7.732726794,9.270776037,7.67474714,3.699433489,-1.943700924,-1.063702557,-0.692030009,0.144162245,0.870823258,0.696289082,0.991369167,0
0.613029321,2.831426723,4.759508874,2.710632045,3.218267955,-0.527690072,-1.29212168,-1.398456203,0.789097154,0.462155284,0.964991075,0.939348744,0
8.593830424,3.651718524,6.778799687,8.030702293,3.50595968,-1.081529375,-0.610702322,-1.813727983,0.580441586,0.440630698,0.508094215,0.910584308,0
9.387128367,5.432414524,6.32980583,6.438644535,4.334883963,-1.928240382,-0.964113955,-1.442529626,0.12478137,0.973399223,0.574844649,0.952206129,0
1.178539416,1.706846232,8.629249359,9.249965605,5.224727487,-1.537942059,-1.9482449,-1.738540528,0.21760745,0.709992568,0.644036731,0.616178684,0
9.613979144,9.540132455,6.28831603,2.949240394,3.432161482,-1.177427333,-0.51251883,-1.742215319,0.07367306,0.669165012,0.393752194,0.839008623,0
8.543434893,3.856669292,7.24196269,6.522107947,2.971198621,-1.185024238,-1.270553217,-0.515621167,0.41025949,0.14270498,0.998798464,0.287448356,0
4.950038194,8.146925983,1.389853065,8.40575403,3.15580178,-1.274999062,-1.094813769,-0.785988949,0.523808568,0.264242802,0.099934091,0.831790578,0
8.258745357,9.410781976,7.213294052,4.694657916,3.958287775,-1.516378178,-0.68112287,-1.760786727,0.482863631,0.066624112,0.369685443,0.993356075,0
2.062830734,6.213706211,7.05878163,2.289422068,2.313259187,-0.757053837,-0.525209173,-1.030996177,0.258542404,0.424001969,0.97373754,0.64916995,0
2.895180145,4.750675311,4.947575971,8.627607019,3.844929385,-1.742239744,-1.256615408,-0.846074232,0.320408692,0.8969104,0.919770549,0.077455798,0
5.510552244,9.00842755,6.72690357,9.588153727,3.382268117,-0.776845434,-1.782244094,-0.82317859,0.843960656,0.989371762,0.169321675,0.863157195,0
6.665175445,6.982854489,6.984679409,6.914151122,2.951880468,-0.782539651,-1.233961017,-0.935379799,0.145924622,0.968596828,0.707350311,0.595022411,0
8.803446201,4.758028174,8.751677587,1.908731672,4.145407648,-1.190715778,-1.378574696,-1.576117174,0.639702575,0.886680968,0.531459323,0.92671153,0
8.443852606,3.216348565,4.673877745,9.379196018,3.183274431,-0.855525273,-0.807997783,-1.519751375,0.447119117,0.308052025,0.701998982,0.174500311,0
4.035709048,8.094920748,1.036019247,9.585596519,4.623957109,-1.843809486,-1.771920522,-1.008227101,0.723897469,0.844509256,0.128504529,0.274082296,0
3.507014534,7.153355664,4.613492349,4.316703632,3.805283388,-1.843323306,-0.769643329,-1.192316752,0.949405749,0.544777191,0.746886765,0.508727813,0
8.865512961,8.756769996,1.293776583,6.452866817,2.560636238,-0.678547539,-1.217198074,-0.664890625,0.807975992,0.892161577,0.278026659,0.270207634,0
7.109863546,8.052844813,1.484762406,9.033090843,3.666742664,-1.760553365,-1.025246605,-0.880942694,0.428099148,0.217186021,0.290471612,0.687728365,0
7.836072947,1.717303361,2.405343138,6.896897305,4.426470298,-1.702176842,-1.369683339,-1.354610118,0.306838965,0.771959013,0.089826283,0.943171226,0
8.813174931,8.037074702,8.266758678,1.33018606,4.865791366,-1.814178218,-1.099214379,-1.952398769,0.180140037,0.062185416,0.972168381,0.656271521,0
8.689917103,6.941276385,6.980592119,6.005295982,4.175900037,-1.307835157,-1.597120123,-1.270944757,0.333152483,0.836811035,0.945853688,0.826431551,0
3.506559744,3.161599042,3.471134917,8.550492071,3.065448057,-0.811070467,-0.538419455,-1.715958134,0.950619989,0.701600992,0.786613501,0.56387261,0
9.584956698,6.234441214,4.868971737,1.758749213,3.684850991,-0.769186399,-1.419932759,-1.495731834,0.939777018,0.268030447,0.610658022,0.178609217,0
1.751666693,4.104057894,5.838193801,5.026690925,3.478397937,-0.528580207,-1.859119346,-1.090698384,0.336614973,0.534433558,0.449730043,0.806743118,0
4.519544409,5.542852067,4.386537846,3.408250099,2.555289037,-1.107377519,-0.773957962,-0.673953556,0.717849067,0.913344032,0.545825341,0.336286206,0
4.883603491,7.578258815,5.564537513,5.930233777,3.23428637,-1.909059866,-0.760882801,-0.564343703,0.693315587,0.078613993,0.239276476,0.82620466,0
6.968239676,8.377768044,8.143207679,8.24257885,3.967785482,-0.557729136,-1.987038613,-1.423017734,0.794235662,0.361280368,0.880557254,0.702631903,0
3.165983706,9.179509242,4.79451688,9.168125982,3.13398159,-1.335170836,-0.727165226,-1.071645527,0.581986528,0.25662726,0.780768931,0.649754218,0
5.406977119,6.265365313,3.067499869,5.377439648,3.57635831,-1.524140295,-0.667241667,-1.384976348,0.500993907,0.972047455,0.122220695,0.394532506,0
6.887455369,8.105147904,4.76847412,5.50601767,2.894199285,-0.526178332,-0.668098367,-1.699922586,0.441278228,0.254716155,0.552988043,0.566666548,0
2.700884037,2.815070938,3.798056318,3.463443871,3.143668095,-0.739843005,-1.334163927,-1.069661164,0.468996953,0.594339758,0.290011069,0.557437118,0
3.879023749,5.297912337,6.193791524,5.257824695,4.050489765,-1.140083689,-1.093092335,-1.817313741,0.499645108,0.209390028,0.940355601,0.110423377,0
4.37003754,2.552222318,9.692345544,5.418380005,2.744597172,-0.795996938,-1.382662917,-0.565937317,0.693839261,0.285761988,0.480527695,0.44217113,0
3.595423073,2.410315415,8.757113323,9.261173244,2.698003365,-1.293386055,-0.74738896,-0.65722835,0.631836965,0.601635019,0.674372048,0.656530485,0
3.321848867,5.634008559,3.444982263,5.03559572,3.239288965,-1.625224955,-0.712345013,-0.901718997,0.236868597,0.700564185,0.321273623,0.587893079,0
9.427245583,2.836030242,3.422369987,3.940812046,4.227613752,-1.350384009,-1.120681816,-1.756547926,0.768944389,0.160728304,0.840538292,0.957978441,0
3.618564576,3.813141124,4.005853279,3.108138325,3.158097148,-1.354356728,-1.195831262,-0.607909158,0.955399324,0.68382667,0.272001924,0.523567864,0
1.778160907,9.467426942,4.3990083,4.516828326,3.166252992,-1.668702044,-0.984706516,-0.512844432,0.615326518,0.90183194,0.34285048,0.825646795,0
6.302254397,8.978167686,7.403812041,4.933648291,4.842036738,-1.870923579,-1.457197893,-1.513915266,0.105224924,0.956958741,0.16759892,0.512388341,0
0.817316764,6.185055124,6.32049089,2.198166005,3.090140477,-0.754448505,-1.382280349,-0.953411623,0.344335569,0.385016774,0.851948605,0.259120166,0
3.067728155,8.518060228,9.990089707,9.972931188,3.543258993,-1.400241729,-0.554903422,-1.588113842,0.148211052,0.89284003,0.205939079,0.835989274,0
7.498401719,6.697602581,8.798626238,2.126236009,3.134584756,-1.58190628,-0.589385911,-0.963292565,0.26082633,0.89900286,0.964752312,0.600598253,0
4.10682478,5.482853171,6.829009036,0.912511173,4.033913202,-0.96203138,-1.153369298,-1.918512525,0.622111979,0.467005698,0.632805957,0.317220535,0
3.083774578,7.190131964,9.669547026,3.472985749,3.858552586,-0.822445016,-1.491765083,-1.544342487,0.815355295,0.128731796,0.803626364,0.564236104,0
5.320568296,8.716403883,1.536095474,3.678266017,4.493076424,-0.975992832,-1.685787344,-1.831296248,0.559361362,0.314926567,0.515460059,0.762985354,0
9.213567066,5.086389051,7.952963445,2.439067703,4.1785307,-1.255334254,-1.719578129,-1.203618318,0.401546528,0.179673888,0.87128851,0.874005721,0
5.204345078,8.807950186,1.382158682,6.304181515,3.814476579,-0.738627298,-1.455271172,-1.620578109,0.797424859,0.31834742,0.05898863,0.648246273,0
8.210178511,7.768239819,3.788889895,9.662851244,4.33031515,-1.613675526,-1.447648463,-1.268991161,0.864101437,0.457143498,0.560559381,0.461091336,0
7.959364816,4.463147592,8.950048148,5.816077373,2.436099042,-0.505986278,-0.739955158,-1.190157606,0.793695487,0.22750435,0.830032796,0.669313856,0
8.796484688,5.17692459,0.624381071,4.723898857,3.367737581,-1.571775527,-0.842004469,-0.953957584,0.926383285,0.225965869,0.189365277,0.906181745,0
7.809526603,6.219632289,5.00751865,3.879342612,5.193313586,-1.964227802,-1.509714087,-1.719371697,0.286619199,0.652348417,0.198073909,0.744126085,0
5.839351642,5.237112439,2.18561817,9.138790794,4.521645548,-1.977511608,-1.232011219,-1.31212272,0.98147777,0.398394955,0.792634702,0.917319095,0
9.762700439,3.937340649,6.823992241,8.897173398,3.429209065,-1.384556961,-1.480280802,-0.564371301,0.453719412,0.417381697,0.240245621,0.713686889,0
8.633664334,2.670614576,7.678193635,3.821826387,2.327390607,-0.733194986,-0.547282624,-1.046912998,0.894086004,0.627477027,0.367716174,0.831348579,0
6.553518334,8.594062477,8.946184634,5.292114816,4.790040043,-1.611456487,-1.866611741,-1.311971815,0.321016138,0.904454495,0.822432332,0.154470257,0
2.763047102,3.496711777,3.250641003,6.881250127,4.828909533,-1.996481841,-1.355490551,-1.476937142,0.300193124,0.743528979,0.586622637,0.703436635,0
5.312770508,8.067365442,9.313983959,5.598046332,3.873806441,-1.821013064,-1.117612754,-0.935180623,0.556648373,0.933071705,0.696744655,0.617440902,0
8.832011709,6.435497043,2.651202388,8.933097716,3.533801548,-0.73071951,-1.965353124,-0.837728914,0.60122422,0.584452752,0.616298834,0.803010374,0
9.458128009,5.714746703,2.704423079,5.446117091,4.360010873,-1.04787521,-1.320736962,-1.991398701,0.997322477,0.449316627,0.233188845,0.899331708,0
9.16728997,8.522823246,1.512111371,1.998554777,3.799826719,-0.757622064,-1.770216574,-1.271988081,0.664359618,0.953098266,0.55576023,0.449291548,0
5.341059351,5.815974374,8.159441429,4.412804894,2.830776982,-1.193873982,-0.934479774,-0.702423226,0.754246775,0.195993975,0.470843293,0.892056809,0
9.956762252,7.250328355,0.725499942,7.632743385,3.278776496,-1.194658076,-1.286381348,-0.797737071,0.501827516,0.398334582,0.792399544,0.980767425,0
6.635242546,4.845605284,7.557624686,5.704877955,2.071355602,-0.500108276,-0.653453363,-0.917793963,0.961140822,0.128866371,0.426213821,0.831986487,0
4.317693935,8.795887706,2.519850266,9.62544267,3.970950441,-1.46233314,-1.562184109,-0.946433192,0.616090351,0.77364567,0.603380037,0.233075219,0
0.764015215,8.613012934,5.518787524,9.762922181,2.821805702,-1.506473712,-0.636060076,-0.679271914,0.781904861,0.414450304,0.767671506,0.471742083,0
4.724093168,7.152509326,4.541664794,8.591483262,5.732533226,-1.868476017,-1.906837098,-1.957220111,0.711815145,0.99395482,0.192451189,0.091447103,0
3.620657085,2.592079506,1.862788251,6.570232457,3.544520547,-1.044717452,-0.820384002,-1.679419093,0.530920786,0.988852079,0.754101926,0.998761753,0
7.103635553,2.081936425,5.287339129,6.936649465,2.69589824,-1.182208977,-0.915489191,-0.598200073,0.65733876,0.866362523,0.27333956,0.438657278,0
7.228904413,8.677175303,7.648068544,5.848773191,2.317762873,-0.846054075,-0.971684269,-0.500024529,0.341613929,0.132141869,0.849789149,0.651504163,0
2.927250315,2.42288505,3.538161118,4.138394298,2.554872817,-1.476525496,-0.560758522,-0.517588798,0.123158115,0.919761152,0.902983966,0.246253098,0
4.527777405,2.168711741,6.882592427,8.531665278,4.732820767,-1.657019687,-1.297132607,-1.778668473,0.928787508,0.946044136,0.88159119,0.101960305,0
5.24017226,7.092724294,4.430598648,5.383372326,3.677094328,-1.204684713,-1.282441723,-1.189967892,0.059946251,0.9389881,0.573348329,0.942966728,0
9.639895004,3.113222495,7.262914505,7.906786421,3.921405839,-1.797101867,-1.512514031,-0.611789941,0.78205228,0.847908848,0.299122129,0.837571382,0
4.676787937,6.347441603,2.93067872,2.675938041,2.266820047,-0.926279595,-0.656666919,-0.683873533,0.833785205,0.886643549,0.155094749,0.918636162,0
7.534710636,6.052546023,3.32208575,1.616141273,3.825842655,-0.989812961,-1.812500464,-1.02352923,0.752003364,0.584024896,0.570330391,0.081548621,0
4.395883729,5.779007677,9.922276381,3.847387996,3.456297101,-0.613529338,-1.311038564,-1.531729198,0.360692811,0.683695938,0.377137277,0.066978106,0
3.829127022,8.15302761,6.732420117,9.046402814,3.145514665,-1.282460731,-0.777495245,-1.08555869,0.719715544,0.262282875,0.588538436,0.56935425,0
7.79404727,2.734733115,8.978007172,9.647478318,4.304341437,-0.793208165,-1.77055152,-1.740581752,0.263952783,0.697733767,0.147058913,0.752729296,0
1.023221555,9.942159775,8.525976002,5.037583,4.694663562,-1.179236446,-1.926219924,-1.589207192,0.67426121,0.488825985,0.395292194,0.688037848,0
7.619331986,4.707089891,7.114224433,5.811191722,5.010338912,-1.775793755,-1.881380809,-1.353164348,0.245825492,0.586552136,0.647534969,0.521961887,0
